Date : 2024-06-22 20:07:12
Directory : c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1
Total : 167 files,  16704 codes, 256 comments, 415 blanks, all 17375 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\architectureMapa.svg                                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\arrow-down.svg                                                                             | XML                |          4 |          0 |          0 |          4 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\atraccion-turistica.svg                                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\atraccion-turistica2.svg                                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\avion.svg                                                                                  | XML                |          5 |          0 |          0 |          5 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\calendario.svg                                                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\calendarioListPayment.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\camaListOffers.svg                                                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\categoriaProducto.svg                                                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\cerrar-sesion.svg                                                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\frontend-finalsw1\src\assets\check.svg                                                                                  | XML                |          1 |          0 |          0 |          1 |
